,Playlist Name,Description,Tracks,Followers,URL
602,The Hot Sounds of 1926,,69,465,https://open.spotify.com/playlist/3rMnCpY0WEROlje2b8Bjdn
603,Happy Birthday Kanye!,,66,346,https://open.spotify.com/playlist/45Cyxm3R3Gpn2upYrjcPbc
604,Mollie King ,,0,51,https://open.spotify.com/playlist/0dVRyMERU2g9M4tWEfaD5B
605,Happy Birthday Sir Tom!,,20,132,https://open.spotify.com/playlist/5Ir6gs0eXKyPj3Qin8uEun
606,Happy Birthday Prince!,,46,299,https://open.spotify.com/playlist/44uPoVqT6tOn5AphWVnSvu
607,Happy Birthday Joe Cocker,,10,205,https://open.spotify.com/playlist/66uSq0mmMKat8vPRxsbmhp
608,Happy Birthday Mollie!,,17,93,https://open.spotify.com/playlist/4njfFyb4EgzewhH9kTQuwN
609,"Congratulations, Sofia and Daniel",,30,79,https://open.spotify.com/playlist/2vfyCK7WsXnVeItNwuiFFR
610,Welcome Baby Kimye!,,24,90,https://open.spotify.com/playlist/5zpAWvvDe0Q8TXjrgInIke
611,The Roots of... Vampire Weekend,,29,382,https://open.spotify.com/playlist/52FOMIrumGaNXnwKfrlAVf
612,PF,,166,194,https://open.spotify.com/playlist/6kDXxWpyGJ2f7nQWQwOMBA
613,Happy Birthday Nicole!,,27,146,https://open.spotify.com/playlist/1dB0DjEsx9Gy0VG7Hmyc7Q
